"","solID","channels","date_min","date_max","periods","constr_low","constr_up","histSpend","histSpendTotal","initSpendUnitTotal","initSpendUnit","initSpendShare","initResponseUnit","initResponseUnitTotal","initRoiUnit","expSpendTotal","expSpendUnitTotal","expSpendUnitDelta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmResponseUnit","optmResponseUnitTotal","optmRoiUnit","optmResponseUnitLift","optmResponseUnitTotalLift"
"1","5_740_8","FB_28_similar_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,3973402,136672754,1007834.01491036,21023.291005291,0.0208598744379161,1.59807731962754,38.2070516077363,7.60146125183417e-05,830000,830000,-0.176451689741963,25227.9492063492,0.2,830000,-0.176451689741963,0.0303951195257219,2.25501091054167,31.8911177722637,8.93854229726348e-05,0.411077475942932,-0.165308066697137
"2","5_740_8","FB_30_broad_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,3712528,136672754,1007834.01491036,8735.36,0.00866745899698271,0.033346334787558,38.2070516077363,3.8173967400952e-06,830000,830000,-0.176451689741963,6114.752,-0.3,830000,-0.176451689741963,0.00736717108433735,0.0198712165423942,31.8911177722637,3.24971749343132e-06,-0.404095932311924,-0.165308066697137
"3","5_740_8","FB_30_retarg_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,1076176,136672754,1007834.01491036,2809.8590078329,0.00278801763610134,0.321750758681769,38.2070516077363,0.000114507794798544,830000,830000,-0.176451689741963,3371.83080939948,0.2,830000,-0.176451689741963,0.00406244675831262,0.526531026502527,31.8911177722637,0.000156155826394001,0.636456208090242,-0.165308066697137
"4","5_740_8","FB_30_similar_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,9915433,136672754,1007834.01491036,25359.1636828645,0.0251620438561205,0.675915625769875,38.2070516077363,2.66537033406429e-05,830000,830000,-0.176451689741963,30430.9964194373,0.2,830000,-0.176451689741963,0.0366638511077558,1.08929934353285,31.8911177722637,3.57957172521986e-05,0.611590710441299,-0.165308066697137
"5","5_740_8","FB_40_retarg_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,892444,136672754,1007834.01491036,2479.01111111111,0.0024597414598391,0.000786880684012895,38.2070516077363,3.17417167065544e-07,830000,830000,-0.176451689741963,1735.30777777778,-0.3,830000,-0.176451689741963,0.00209073226238286,0.000282176711543143,31.8911177722637,1.62609028298425e-07,-0.641398350123283,-0.165308066697137
"6","5_740_8","FB_40_similar_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,6054607,136672754,1007834.01491036,10385.2607204117,0.0103045348408243,0.74542162192149,38.2070516077363,7.17768809074195e-05,830000,830000,-0.176451689741963,12462.312864494,0.2,830000,-0.176451689741963,0.0150148347764988,0.906940018280339,31.8911177722637,7.27746148039884e-05,0.216680589358946,-0.165308066697137
"7","5_740_8","FB_50_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,92379,136672754,1007834.01491036,3421.44444444444,0.00339484914561924,0.10241013463274,38.2070516077363,2.99318420321067e-05,830000,830000,-0.176451689741963,4105.73333333333,0.2,830000,-0.176451689741963,0.00494666666666667,0.169576322169786,31.8911177722637,4.13023224847659e-05,0.655854889537206,-0.165308066697137
"8","5_740_8","FB_female_other_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,49052834,136672754,1007834.01491036,75004.3333333333,0.0744213156369846,2.93095104682561,38.2070516077363,3.90770895036146e-05,830000,830000,-0.176451689741963,52503.0333333333,-0.3,830000,-0.176451689741963,0.0632566666666667,2.47764629746396,31.8911177722637,4.71905362445211e-05,-0.154661317135475,-0.165308066697137
"9","5_740_8","FB_male_other_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,27575823,136672754,1007834.01491036,40792.6375739645,0.0404755515000084,4.98618685884911,38.2070516077363,0.000122232519282634,830000,830000,-0.176451689741963,36336.5526842134,-0.10923747898555,830000,-0.176451689741963,0.0437789791376065,4.79966424148407,31.8911177722637,0.000132089146793755,-0.037407867503806,-0.165308066697137
"10","5_740_8","FB_u25_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,366344,136672754,1007834.01491036,8935.21951219512,0.00886576497717221,0.13334750817684,38.2070516077363,1.49238088661215e-05,830000,830000,-0.176451689741963,6254.65365853659,-0.3,830000,-0.176451689741963,0.00753572729944167,0.0898463032345049,31.8911177722637,1.4364712762613e-05,-0.326224355723583,-0.165308066697137
"11","5_740_8","FB_undefined_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,30309208,136672754,1007834.01491036,45170.2056631893,0.0448190922264187,4.71884160941733,38.2070516077363,0.00010446801249043,830000,830000,-0.176451689741963,54204.2467958271,0.2,830000,-0.176451689741963,0.0653063214407556,5.31170942765374,31.8911177722637,9.7994340695509e-05,0.125638423008992,-0.165308066697137
"12","5_740_8","Google_Proslisting_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,1391576,136672754,1007834.01491036,10384.8955223881,0.0103041724815289,2.46487002545618,38.2070516077363,0.000237351451455852,830000,830000,-0.176451689741963,12461.8746268657,0.2,830000,-0.176451689741963,0.0150143067793562,2.76472076896055,31.8911177722637,0.000221854323827034,0.121649718000394,-0.165308066697137
"13","5_740_8","Influencer_big_fix_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,2260000,136672754,1007834.01491036,753333.333333333,0.747477582804484,19.4951458829062,38.2070516077363,2.58785122339463e-05,830000,830000,-0.176451689741963,584790.756490433,-0.223729084304735,830000,-0.176451689741963,0.704567176494497,11.4800197191857,31.8911177722637,1.9630986967171e-05,-0.411134454282198,-0.165308066697137
