"","solID","channels","date_min","date_max","periods","constr_low","constr_up","histSpend","histSpendTotal","initSpendUnitTotal","initSpendUnit","initSpendShare","initResponseUnit","initResponseUnitTotal","initRoiUnit","expSpendTotal","expSpendUnitTotal","expSpendUnitDelta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmResponseUnit","optmResponseUnitTotal","optmRoiUnit","optmResponseUnitLift","optmResponseUnitTotalLift"
"1","5_740_8","FB_28_similar_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,3973402,136672754,1007834.01491036,21023.291005291,0.0208598744379161,1.59807731962754,38.2070516077363,7.60146125183417e-05,770000,770000,-0.2359853025317,25227.9492063492,0.2,769999.999999996,-0.235985302531704,0.0327635703978563,2.25501091054167,29.3491601495965,8.93854229726348e-05,0.411077475942932,-0.231839178512959
"2","5_740_8","FB_30_broad_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,3712528,136672754,1007834.01491036,8735.36,0.00866745899698271,0.033346334787558,38.2070516077363,3.8173967400952e-06,770000,770000,-0.2359853025317,6114.752,-0.3,769999.999999996,-0.235985302531704,0.00794123636363641,0.0198712165423942,29.3491601495965,3.24971749343132e-06,-0.404095932311924,-0.231839178512959
"3","5_740_8","FB_30_retarg_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,1076176,136672754,1007834.01491036,2809.8590078329,0.00278801763610134,0.321750758681769,38.2070516077363,0.000114507794798544,770000,770000,-0.2359853025317,3371.83080939948,0.2,769999.999999996,-0.235985302531704,0.00437900105116818,0.526531026502527,29.3491601495965,0.000156155826394001,0.636456208090242,-0.231839178512959
"4","5_740_8","FB_30_similar_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,9915433,136672754,1007834.01491036,25359.1636828645,0.0251620438561205,0.675915625769875,38.2070516077363,2.66537033406429e-05,770000,770000,-0.2359853025317,30430.9964194373,0.2,769999.999999996,-0.235985302531704,0.0395207745706981,1.08929934353285,29.3491601495965,3.57957172521986e-05,0.611590710441299,-0.231839178512959
"5","5_740_8","FB_40_retarg_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,892444,136672754,1007834.01491036,2479.01111111111,0.0024597414598391,0.000786880684012895,38.2070516077363,3.17417167065544e-07,770000,770000,-0.2359853025317,1735.30777777778,-0.3,769999.999999996,-0.235985302531704,0.00225364646464648,0.000282176711543143,29.3491601495965,1.62609028298425e-07,-0.641398350123283,-0.231839178512959
"6","5_740_8","FB_40_similar_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,6054607,136672754,1007834.01491036,10385.2607204117,0.0103045348408243,0.74542162192149,38.2070516077363,7.17768809074195e-05,770000,770000,-0.2359853025317,12462.312864494,0.2,769999.999999996,-0.235985302531704,0.0161848219019403,0.906940018280339,29.3491601495965,7.27746148039884e-05,0.216680589358946,-0.231839178512959
"7","5_740_8","FB_50_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,92379,136672754,1007834.01491036,3421.44444444444,0.00339484914561924,0.10241013463274,38.2070516077363,2.99318420321067e-05,770000,770000,-0.2359853025317,4105.73333333333,0.2,769999.999999996,-0.235985302531704,0.00533212121212124,0.169576322169786,29.3491601495965,4.13023224847659e-05,0.655854889537206,-0.231839178512959
"8","5_740_8","FB_female_other_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,49052834,136672754,1007834.01491036,75004.3333333333,0.0744213156369846,2.93095104682561,38.2070516077363,3.90770895036146e-05,770000,770000,-0.2359853025317,52503.0333333333,-0.3,769999.999999996,-0.235985302531704,0.0681857575757579,2.47764629746396,29.3491601495965,4.71905362445211e-05,-0.154661317135475,-0.231839178512959
"9","5_740_8","FB_male_other_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,27575823,136672754,1007834.01491036,40792.6375739645,0.0404755515000084,4.98618685884911,38.2070516077363,0.000122232519282634,770000,770000,-0.2359853025317,33793.9758413086,-0.17156678628505,769999.999999996,-0.235985302531704,0.0438882803133881,4.68400698806236,29.3491601495965,0.000138604791873491,-0.0606033988177692,-0.231839178512959
"10","5_740_8","FB_u25_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,366344,136672754,1007834.01491036,8935.21951219512,0.00886576497717221,0.13334750817684,38.2070516077363,1.49238088661215e-05,770000,770000,-0.2359853025317,6254.65365853659,-0.3,769999.999999996,-0.235985302531704,0.00812292682926834,0.0898463032345049,29.3491601495965,1.4364712762613e-05,-0.326224355723583,-0.231839178512959
"11","5_740_8","FB_undefined_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,30309208,136672754,1007834.01491036,45170.2056631893,0.0448190922264187,4.71884160941733,38.2070516077363,0.00010446801249043,770000,770000,-0.2359853025317,54204.2467958271,0.2,769999.999999996,-0.235985302531704,0.0703951257088668,5.31170942765374,29.3491601495965,9.7994340695509e-05,0.125638423008992,-0.231839178512959
"12","5_740_8","Google_Proslisting_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,1391576,136672754,1007834.01491036,10384.8955223881,0.0103041724815289,2.46487002545618,38.2070516077363,0.000237351451455852,770000,770000,-0.2359853025317,12461.8746268657,0.2,769999.999999996,-0.235985302531704,0.0161842527621633,2.76472076896055,29.3491601495965,0.000221854323827034,0.121649718000394,-0.231839178512959
"13","5_740_8","Influencer_big_fix_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,2260000,136672754,1007834.01491036,753333.333333333,0.747477582804484,19.4951458829062,38.2070516077363,2.58785122339463e-05,770000,770000,-0.2359853025317,527333.333333333,-0.3,769999.999999996,-0.235985302531704,0.684848484848489,9.05371934994025,29.3491601495965,1.71688736092419e-05,-0.535591095120825,-0.231839178512959
